ItemID,Author,SMD_1,SESMD_1,SMD_2,SESMD_2,SMD_3,SESMD_3,SMD_4,SESMD_4,SMD_5,SESMD_5,SMD_6,SESMD_6,SMD_7,SESMD_7,SMD_8,SESMD_8,SMD_9,SESMD_9,SMD_10,SESMD_10
37133918,Gudbrandsen (2005) PT,0.4855,0.4855,0.0789,0.0789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671515,Guerrero (2015),0.4,0.4,0.6,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38878253,Gunn (2005),0.2275,0.2275,0.3065,0.3065,0.2236,0.2236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671559,Gwernan-Jones (2018),1.8775,1.8775,1.664,1.664,0.6437,0.6437,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40117134,Haenn (1996),-0.306,-0.306,0.0133,0.0133,0.0067,0.0067,0.122,0.122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37671520,Haley (2017),-0.0485,-0.0485,0.1044,0.1044,0.2524,0.2524,0.1001,0.1001,0.46,0.46,0.2309,0.2309,NA,NA,NA,NA,NA,NA,NA,NA
37092655,Hanna (1976),0.2276,0.2276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37133919,Hannah (2008),0.6582,0.6582,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37116213,Hardegree (2012),0.0,0.0,0.0228,0.0228,-0.2816,-0.2816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37091033,Haring (1975),1.1571,1.1571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
