id,pub_author,out_type_1,out_label_1,out_tit_1,out_type_2,out_label_2,out_tit_2,out_type_3,out_label_3,out_tit_3,out_type_4,out_label_4,out_tit_4,out_type_5,out_label_5,out_tit_5,out_type_6,out_label_6,out_tit_6,out_type_7,out_label_7,out_tit_7,out_type_8,out_label_8,out_tit_8,out_type_9,out_label_9,out_tit_9,out_type_10,out_label_10,out_tit_10
43090169,Kendall (1982) 1_2,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WRAT: Reading -  Behavioral ,['Other outcome'],Secondary outcome(s),WRAT: spelling - Behavioral - ,['Other outcome'],Secondary outcome(s),WRAT: Maths - Behavioural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134685,Larson (1989),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Grade Card Scores,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134709,Mannarino (1982),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,CARS: Learning (15 items) - Beh. Int.,['Other outcome'],Secondary outcome(s),AML: Learning (1 item) - Beh. Int.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134715,Matthews (1972),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,Metropolitan Reading Achievement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134189,McPartland (1991),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,CAT: reading - Beh.Int,['Mathematics primary outcome'],Secondary outcome(s),CAT: maths - Beh.Int.,['Other outcome'],Secondary outcome(s),Average English - Beh.Int.,['Other outcome'],Secondary outcome(s),Average maths - Beh.Int.,['Other outcome'],Secondary outcome(s),GPA - Beh.In,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134192,Murray (2009),['Science primary outcome'],Primary outcome,SAT 10 Science (Posttest adjusted mean and unadjuested SD),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,SAT 10 Reading (adjusted mean/unadjusted SD),['Mathematics primary outcome'],Primary outcome,SAT 10 Math (Posttest adjusted mean/unadjusted SD),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134386,Newton (1994),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA (4th quarter - t test),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134750,Nickerson (2003),"['Toolkit primary outcome', 'Science primary outcome']",Primary outcome,School grades in Science and English - Behaviour Intervention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134754,Olexa (1984),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,Alternative Thinking-fluencey (prob. solv vs control),['Other outcome'],Secondary outcome(s),Alternative thinking-flexibility (Prob solv. vs control),['Other outcome'],Secondary outcome(s),Consequential thinking-fluency,['Other outcome'],Secondary outcome(s),Consequential thinking-flexibility (Prob. Solv. vs Control),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134757,Orlov (1972),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134772,Pipal (1991),"['Toolkit primary outcome', 'Other outcome']",Primary outcome,GPA,['Other outcome'],Secondary outcome(s),Individual Test of Academic Skills (Editing),['Mathematics primary outcome'],Secondary outcome(s),ITAS Mathematics,['Reading primary outcome'],Secondary outcome(s),ITAS Reading ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134193,Poynton (2006),"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,WASL: Reading - Beh.Int,['Mathematics primary outcome'],Secondary outcome(s),WASK: Maths - Beh. Interv.,['Writing and spelling primary outcome.'],Secondary outcome(s),WASL: writing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40134780,Quay (1972),['Other outcome'],Secondary outcome(s),California Achievement Test Reading Total Score  - Behaviour Intervention,"['Toolkit primary outcome', 'Reading primary outcome']",Primary outcome,California Achievement Test of Reading Comprehension _ Behaviour Intervention,['Other outcome'],Secondary outcome(s),California Achievement Test of Reading Vocabulary - Behaviour Interventionf Va,['Other outcome'],Secondary outcome(s),California Achievement Test of Arithmetic Reasoning - Behaviour Intervention,['Mathematics primary outcome'],Secondary outcome(s),California Achievement Test of Arithmetic Fundamentals - Behaviour Intervention,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
